year_initial,month_initial,day_initial,year_final,month_final,day_final,site,level,avg,products,download
2018,1,1,2022,12,31,Kanpur,15,20,siz,on
2018,1,1,2022,12,31,Kanpur,15,20,rin,on
2018,1,1,2022,12,31,Kanpur,15,20,cad,on
2018,1,1,2022,12,31,Kanpur,15,20,vol,off
2018,1,1,2022,12,31,Kanpur,15,20,tab,on
2018,1,1,2022,12,31,Kanpur,15,20,aod,on
2018,1,1,2022,12,31,Kanpur,15,20,ssa,on
2018,1,1,2022,12,31,Kanpur,15,20,asy,off
2018,1,1,2022,12,31,Kanpur,15,20,frc,off
2018,1,1,2022,12,31,Kanpur,15,20,lid,on
2018,1,1,2022,12,31,Kanpur,15,20,flx,off
2018,1,1,2022,12,31,Kanpur,15,20,pfn,on
2018,1,1,2022,12,31,Kanpur,15,20,pfncoarse,on
2018,1,1,2022,12,31,Kanpur,15,20,pfnfine,on
2018,1,1,2022,12,31,Kanpur,15,20,directsun,on
